numero_registro,denominacion,plazas_autorizadas_numero,plazas_descripcion,tipologia,subtipo,sector,municipio_nombre,direccion_via_tipo,direccion_coor_x,direccion_coor_y,codigo_postal,entidad_denominacion,entidad_naturaleza
C0048,"HOGAR MIGUEL HERNANDEZ, PISO TUTELADO",9,Plazas totales,CENTROS RESIDENCIALES,PISOS TUTELADOS,Infancia y Adolescencia,Madrid,AVDA,444662,4469863,28018,ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO,PRIVADA SIN ÁNIMO DE LUCRO
C0049,"HOGAR AVENIDA DE AMERICA, PISO TUTELADO",9,Plazas totales,CENTROS RESIDENCIALES,PISOS TUTELADOS,Infancia y Adolescencia,Madrid,AVDA,443246,4476805,28002,ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO,PRIVADA SIN ÁNIMO DE LUCRO
C0050,HOGAR ARROYO LAS PILILLAS,9,Plazas totales,CENTROS RESIDENCIALES,PISOS TUTELADOS,Infancia y Adolescencia,Madrid,CALLE,444592,4472923,28030,ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO,PRIVADA SIN ÁNIMO DE LUCRO
C0051,"HOGAR IBIZA, PISO TUTELADO",9,Plazas totales,CENTROS RESIDENCIALES,PISOS TUTELADOS,Infancia y Adolescencia,Madrid,CALLE,442360,4474224,28009,ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO,PRIVADA SIN ÁNIMO DE LUCRO
C0052,"HOGAR GABRIEL USERA, PISO TUTELADO",9,Plazas totales,CENTROS RESIDENCIALES,PISOS TUTELADOS,Infancia y Adolescencia,Madrid,CALLE,439731,4470487,28026,ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO,PRIVADA SIN ÁNIMO DE LUCRO
C0068,"LAS ROSAS DEL CAMINO, RESIDENCIA DE PERSONAS MAYORES",34,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Navalcarnero,CALLE,413868,4459547,28600,"ASOCIACION ""LAS ROSAS DEL CAMINO""",PRIVADA SIN ÁNIMO DE LUCRO
C0071,"INSTITUTO PSICO PEDIATRIA DR. QUINTERO LUMBRERAS, CENTRO OCUPACIONAL",80,Capacidad máxima simultánea,CENTROS OCUPACIONALES,CENTROS OCUPACIONALES GENÉRICOS,Personas con discapacidad intelectual,Madrid,CTRA,441652,4485687,28049,ASOCIACION DE PADRES Y FAMILIARES DE MINUSVALIDOS PSIQUICOS Y SENSORIALES INTEGRADOS EN EL INSTITUTO DE PSICO-PEDIATRIA DR. QUINTERO LUMBRERAS,PRIVADA SIN ÁNIMO DE LUCRO
C0074,"SANTA FILIPINA, RESIDENCIA DE PERSONAS MAYORES",38,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Madrid,AVDA,442575,4479905,28036,FUNDACION ASCE (ANTIGUAS ALUMNAS DEL SAGRADO CORAZON DE ESPAÑA),PRIVADA SIN ÁNIMO DE LUCRO
C0082,"LA AURORA, RESIDENCIA DE PERSONAS MAYORES",177,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Navalcarnero,PASEO,unknown,unknown,28600,"SUCESORES DE GANCEDO RODRIGUEZ, S.A.",PRIVADA CON ÁNIMO DE LUCRO
C0087,"RSDCIA. SACERDOTAL SAN PEDRO, RESIDENCIA DE PERSONAS MAYORES",95,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Madrid,CALLE,440045,4475623,28015,ASOCIACION CONGREGACION DE SAN PEDRO APOSTOL DE PRESBITEROS SECULARES NATURALES DE MADRID,PRIVADA SIN ÁNIMO DE LUCRO
C0099,"ISLA TARAY, RESIDENCIA PERSONAS MAYORES",214,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Morata de Tajuña,CTRA,463685,4453041,28530,ASOCIACION EDAD DORADA MENSAJEROS DE LA PAZ,PRIVADA SIN ÁNIMO DE LUCRO
C0103,LAS AVES,50,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Aranjuez,CALLE,447691,4430938,28300,AYUNTAMIENTO DE ARANJUEZ,PÚBLICA
C0112,"LA ATALAYA, RESIDENCIA DE PERSONAS MAYORES",75,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Pozuelo de Alarcón,CMNO,430828,4475892,28223,CASA COMUNIDAD MISIONERAS DE LA INMACULADA CONCEPCION,PRIVADA SIN ÁNIMO DE LUCRO
C0121,"MIRASIERRA CERCEDILLA, RESIDENCIA PERSONAS MAYORES",46,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Cercedilla,CTRA,409838,4509444,28470,MIRARRESI SL,PRIVADA CON ÁNIMO DE LUCRO
C0124,"DOMUSVI REAL DELEITE, RESIDENCIA DE PERSONAS MAYORES",268,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Aranjuez,PASEO,447882,4430470,28300,"QUAVITAE SERVICIOS ASISTENCIALES, S.A.U.",PRIVADA CON ÁNIMO DE LUCRO
C0135,"LAS NAVES, CENTRO DE DIA INFANTIL Y JUVENIL",195,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Infancia y Adolescencia,Alcalá de Henares,CALLE,469129,4479711,28803,"LAS NAVES, CENTRO DE FORMACIÓN Y ATENCIÓN SOCIOEDUCATIVA",PRIVADA SIN ÁNIMO DE LUCRO
C0137,CENTRO OCUPACIONAL FUNDACION CEDEL,34,Capacidad máxima simultánea,CENTROS OCUPACIONALES,CENTROS OCUPACIONALES GENÉRICOS,Personas con discapacidad intelectual,"Rozas de Madrid, Las",CALLE,423514,4489466,28290,FUNDACIÓN CEDEL,PRIVADA SIN ÁNIMO DE LUCRO
C0138,"NTRA. SRA. DEL PILAR, RESIDENCIA DE PERSONAS MAYORES",55,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Madrid,CALLE,448157,4477032,28022,CASA COMUNIDAD HERMANAS MERCEDARIAS DE LA CARIDAD,PRIVADA SIN ÁNIMO DE LUCRO
C0140,"NUESTRA SEÑORA DE MONTSERRAT, RESIDENCIA DE PERSONAS MAYORES",97,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Madrid,CALLE,439960,4475256,28015,FUNDACION NUESTRA SEÑORA DE MONTSERRAT,PRIVADA SIN ÁNIMO DE LUCRO
C0142,"SAGRADA FAMILIA ULISES, RESIDENCIA PERSONAS MAYORES",39,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Madrid,CALLE,444710,4478624,28043,FUNDACION SAGRADA FAMILIA Y SANTA ISABEL,PRIVADA SIN ÁNIMO DE LUCRO
C0145,"NUESTRA SEÑORA DEL SAGRARIO, RESIDENCIA DE PERSONAS MAYORES",80,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Moraleja de Enmedio,AVDA,426399,4456727,28950,"RESIDENCIA NUESTRA SEÑORA DEL SAGRARIO, S.L.",PRIVADA CON ÁNIMO DE LUCRO
C0148,"CASASOLAR SANTO DUQUE DE GANDIA, RESIDENCIA DE PERSONAS MAYORES",180,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Madrid,CALLE,437598,4475779,28008,REAL ASOCIACION DE HIDALGOS DE ESPAÑA,PRIVADA SIN ÁNIMO DE LUCRO
C0151,"CENTRO DE RESIDENCIA GERIÁTRICA SANTA MATILDE, RESIDENCIA DE PERSONAS MAYORES",77,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Madrid,CALLE,439846,4477745,28039,"ALONSO QUIJANO, S.L.",PRIVADA CON ÁNIMO DE LUCRO
C0153,"SANTISIMA TRINIDAD, RESIDENCIA PERSONAS MAYORES",56,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Madrid,AVDA,434205,4479055,28023,CASA COMUNIDAD HERMANAS JOSEFINAS DE LA SANTISIMA TRINIDAD,PRIVADA SIN ÁNIMO DE LUCRO
C0155,"HERMANDAD DEL REFUGIO, CENTRO DE DIA COMEDOR",90,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Personas sin hogar,Madrid,CALLE,440214,4474699,28004,ASOCIACION SANTA PONTIFICIA Y REAL HERMANDAD DEL REFUGIO Y PIEDAD DE MADRID,PRIVADA SIN ÁNIMO DE LUCRO
C0159,"SAN JUAN BAUTISTA (COLMENAR DE OREJA), RESIDENCIA PERSONAS MAYORES",99,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Colmenar de Oreja,CALLE,466405,4440267,28380,"TAR 2022 GESTION MADRID, S.L.",PRIVADA CON ÁNIMO DE LUCRO
C0160,"SANTA MARIA DEL SILENCIO, RESIDENCIA DE PERSONAS MAYORES",130,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Cubas de la Sagra,CALLE,428345,4449036,28978,"TAR 2022 GESTION MADRID, S.L.",PRIVADA CON ÁNIMO DE LUCRO
C0161,"LAS PRADERAS, RESIDENCIA DE PERSONAS MAYORES",99,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Pozuelo de Alarcón,CTRA,432070,4476394,28224,"PEREZ AGHA, S.L.",PRIVADA CON ÁNIMO DE LUCRO
C0167,"JESUS NAZARENO Y LOS DOLORES, RESIDENCIA DE PERSONAS MAYORES",95,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Madrid,CALLE,441473,4480419,28029,ASOCIACION RELIGIOSA HOSPITAL DE LAS HERMANAS HOSPITALARIAS DE JESUS NAZARENO Y DE LOS DOLORES,PRIVADA SIN ÁNIMO DE LUCRO
C0168,APAM CENTRO DE REHABILITACION,55,Capacidad máxima simultánea,CENTROS DE REHABILITACIÓN,CENTROS DE RECUPERACIÓN,Personas con discapacidad física,Madrid,CALLE,440508,4477761,28020,"ASOCIACIÓN DE PERSONAS CON DIVERSIDAD FUNCIONAL, FAMILIAS Y AMIGOS ""APAM""",PRIVADA SIN ÁNIMO DE LUCRO
C0169,RESIDENCIA FUNDACIÓN ALAS MADRID,72,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Personas con discapacidad intelectual,Madrid,CALLE,445973,4471882,28030,FUNDACION ALAS MADRID,PRIVADA SIN ÁNIMO DE LUCRO
C0176,CENTRO OCUPACIONAL FUNDACIÓN ALAS MADRID,165,Capacidad máxima simultánea,CENTROS OCUPACIONALES,CENTROS OCUPACIONALES GENÉRICOS,Personas con discapacidad intelectual,Madrid,CALLE,445973,4471882,28030,FUNDACION ALAS MADRID,PRIVADA SIN ÁNIMO DE LUCRO
C0178,"LA JAROSA, RESIDENCIA PERSONAS MAYORES",50,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Guadarrama,PASEO,407491,4503017,28440,"RESIDENCIAS LA JAROSA Y VISTASIERRA, S.L.",PRIVADA CON ÁNIMO DE LUCRO
C0183,ALBERGUE SAN MARTIN DE PORRES,62,Plazas totales,CENTROS DE ACOGIDA,ALBERGUES,Personas sin hogar,Madrid,CALLE,437619,4472092,28019,FUNDACION BENEFICO PARTICULAR SAN MARTIN DE PORRES,PRIVADA SIN ÁNIMO DE LUCRO
C0185,"SANTA TERESA JORNET, RESIDENCIA DE PERSONAS MAYORES",202,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Madrid,CALLE,436226,4469184,28044,HOGAR DE ANCIANOS EN DUQUESA TAMAMES 8 HERMANITAS DE LOS ANCIANOS DESAMPARADOS PROV STA MARTA,PRIVADA SIN ÁNIMO DE LUCRO
C0191,"AFANIAS CANILLEJAS, CENTRO OCUPACIONAL",143,Capacidad máxima simultánea,CENTROS OCUPACIONALES,CENTROS OCUPACIONALES GENÉRICOS,Personas con discapacidad intelectual,Madrid,AVDA,447732,4476554,28022,"AFANIAS, ASOCIACION PRO-PERSONAS CON DISCAPACIDAD INTELECTUAL",PRIVADA SIN ÁNIMO DE LUCRO
C0193,CENTRO OCUPACIONAL PRIMER PASO,37,Capacidad máxima simultánea,CENTROS OCUPACIONALES,CENTROS OCUPACIONALES GENÉRICOS,Personas con discapacidad intelectual,Madrid,CALLE,434217,4479508,28023,ASOCIACION PRO DISCAPACITADOS DE ARAVACA,PRIVADA SIN ÁNIMO DE LUCRO
C0198,ALBERGUE DE SAN JUAN DE DIOS,140,Plazas totales,CENTROS DE ACOGIDA,ALBERGUES,Personas sin hogar,Madrid,CALLE,442095,4478110,28016,CASA COMUNIDAD ORDEN HOSPITALARIA DE SAN JUAN DE DIOS-ALBERGUE DE SAN JUAN DE DIOS,PRIVADA SIN ÁNIMO DE LUCRO
C0203,"SAN FRANCISCO DE PAULA, RESIDENCIA DE PERSONAS MAYORES",75,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Madrid,CALLE,446235,4472300,28030,FUNDACION CATALINA LABOURE,PRIVADA SIN ÁNIMO DE LUCRO
C0206,"AFANDICE, CENTRO DE REHABILITACIÓN",50,Capacidad máxima simultánea,CENTROS DE REHABILITACIÓN,CENTROS DE ATENCIÓN,Infancia y Adolescencia,Madrid,CALLE,439951,4465910,28021,FUNDACION AFANDICE,PRIVADA SIN ÁNIMO DE LUCRO
C0211,"FUENTE DE SALUD, RESIDENCIA DE PERSONAS MAYORES",34,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Moralzarzal,CALLE,417926,4502966,28411,ROSSCANA DE SALUD SL,PRIVADA CON ÁNIMO DE LUCRO
C0219,"MONTESALUD, RESIDENCIA DE PERSONAS MAYORES",150,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,"Rozas de Madrid, Las",CALLE,420076,4487359,28230,"MONTESALUD, S.A.",PRIVADA CON ÁNIMO DE LUCRO
C0221,"VIRGEN DE LA ESPERANZA, RESIDENCIA DE PERSONAS MAYORES",72,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,San Sebastián de los Reyes,CALLE,446864,4488447,28701,ASOCIACION RELIGIOSA HOSPITAL DE LAS HERMANAS HOSPITALARIAS DE JESUS NAZARENO Y DE LOS DOLORES,PRIVADA SIN ÁNIMO DE LUCRO
C0224,"LA PURISIMA CONCEPCION, RESIDENCIA DE PERSONAS MAYORES",156,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Madrid,AVDA,442771,4472225,28007,FUNDACION CATALINA SUAREZ,PRIVADA SIN ÁNIMO DE LUCRO
C0225,"MANUEL HERRANZ, RESIDENCIA DE PERSONAS MAYORES",84,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Pozuelo de Alarcón,CALLE,432407,4477584,28224,RESIDENCIA MANUEL HERRANZ ESCLAVAS DE LA VIRGEN DOLOROSA,PRIVADA SIN ÁNIMO DE LUCRO
C0227,"IMBEA, RESIDENCIA GERIÁTRICA",30,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Madrid,CALLE,442120,4479153,28036,"MOREJON, S.A.",PRIVADA CON ÁNIMO DE LUCRO
C0229,"SANTA MARIA DEL MONTE CARMELO, RESIDENCIA DE PERSONAS MAYORES",99,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Madrid,CALLE,441932,4475261,28001,CASA COMUNIDAD DE LOS PADRES CARMELITAS ORDEN DEL CARMEN,PRIVADA SIN ÁNIMO DE LUCRO
C0230,"LAS JARAS, RESIDENCIA DE MINUSVALIDOS",48,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Personas con discapacidad intelectual,Majadahonda,CTRA,425448,4478594,28220,ASOCIACION DE PADRES LAS JARAS,PRIVADA SIN ÁNIMO DE LUCRO
C0231,"LAS JARAS, CENTRO OCUPACIONAL",63,Capacidad máxima simultánea,CENTROS OCUPACIONALES,CENTROS OCUPACIONALES GENÉRICOS,Personas con discapacidad intelectual,Majadahonda,CTRA,425448,4478594,28220,ASOCIACION DE PADRES LAS JARAS,PRIVADA SIN ÁNIMO DE LUCRO
C0233,FUNDACIÓN ASTIER CENTRO SAN JOSÉ,149,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Personas con discapacidad intelectual,Alcalá de Henares,AVDA,470137,4483122,28805,FUNDACIÓN ASTIER CENTRO SAN JOSÉ,PRIVADA SIN ÁNIMO DE LUCRO
C0236,"JARDINES DE ESPAÑA, CENTRO OCUPACIONAL",95,Capacidad máxima simultánea,CENTROS OCUPACIONALES,CENTROS OCUPACIONALES GENÉRICOS,Personas con discapacidad intelectual,Madrid,AVDA,442771,4482097,28050,FUNDACION JARDINES DE ESPAÑA,PRIVADA SIN ÁNIMO DE LUCRO
C0240,RESIDENCIA LOS FRESNOS,34,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Personas con discapacidad intelectual,Pozuelo de Alarcón,CALLE,428678,4474977,28223,FUNDACION CAL PAU,PRIVADA SIN ÁNIMO DE LUCRO
C0248,"SANITAS RESIDENCIAL ALMENARA, RESIDENCIA DE PERSONAS MAYORES",106,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Colmenar del Arroyo,CALLE,398152,4475460,28213,"SANITAS MAYORES, S.L.",PRIVADA CON ÁNIMO DE LUCRO
C0253,ASILO SANTA MARCA,47,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Infancia,Madrid,CALLE,442746,4477678,28002,FUNDACION DE SANTAMARCA Y DE SAN RAMON Y SAN ANTONIO,PRIVADA SIN ÁNIMO DE LUCRO
C0260,"NTRA. SRA. DEL CAMINO III,C.O.",65,Capacidad máxima simultánea,CENTROS OCUPACIONALES,CENTROS OCUPACIONALES GENÉRICOS,Personas con discapacidad intelectual,Madrid,CALLE,438728,4479097,28035,FUNDACION NUESTRA SEÑORA DEL CAMINO,PRIVADA SIN ÁNIMO DE LUCRO
C0261,"BALLESOL POZUELO, RESIDENCIA DE PERSONAS MAYORES",257,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Pozuelo de Alarcón,CALLE,431239,4478016,28224,"INTERCENTROS BALLESOL, S.A.",PRIVADA CON ÁNIMO DE LUCRO
C0263,"CIUDAD ESCUELA MUCHACHOS, C. PROTECCION",60,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Infancia y Adolescencia,Leganés,AVDA,435006,4463682,28912,ASOCIACION MUCHACHOS CIUDAD ESCUELAS DE FORMACION SOCIO CULTURAL,PRIVADA SIN ÁNIMO DE LUCRO
C0270,"SAN JOSE (CHINCHON), RESIDENCIA DE PERSONAS MAYORES",79,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Chinchón,CALLE,464398,4443367,28370,"ANTONIO PAEZ, S.L.",PRIVADA CON ÁNIMO DE LUCRO
C0274,"FUNDACION MANZANARES, RESIDENCIA DE PERSONAS MAYORES",53,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Fuentidueña de Tajo,CALLE,486226,4440789,28597,CASA COMUNIDAD OBRA MISIONERA DE JESUS Y MARIA,PRIVADA SIN ÁNIMO DE LUCRO
C0275,"BALLESOL PARQUE ALMANSA, RESIDENCIA DE PERSONAS MAYORES",108,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Madrid,PASEO,439276,4477745,28040,"INTERCENTROS BALLESOL, S.A.",PRIVADA CON ÁNIMO DE LUCRO
C0277,"BELLAS VISTAS (PELAYOS DE LA PRESA), RESIDENCIA DE PERSONAS MAYORES",122,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Pelayos de la Presa,AVDA,386628,4468203,28696,"RAMLIZ, S.A.",PRIVADA CON ÁNIMO DE LUCRO
C0285,"NUESTRO HOGAR BELISANA, PISO TUTELADO",10,Plazas totales,CENTROS RESIDENCIALES,PISOS TUTELADOS,Infancia y Adolescencia,Madrid,CALLE,444536,4478653,28043,FUNDACION ANAR,PRIVADA SIN ÁNIMO DE LUCRO
C0287,"PINAR DE ARAVACA, RESIDENCIA DE PERSONAS MAYORES",119,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Madrid,CALLE,434645,4479029,28023,"SERVICIOS INTEGRALES DE ATENCIÓN GERIÁTRICA, S.L.",PRIVADA CON ÁNIMO DE LUCRO
C0288,"BALLESOL MAJADAHONDA, RESIDENCIA DE PERSONAS MAYORES",133,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Majadahonda,CALLE,427174,4481056,28220,"INTERCENTROS BALLESOL, S.A.",PRIVADA CON ÁNIMO DE LUCRO
C0292,"MADRE DOLORES, CLUB",70,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Madrid,CALLE,439527,4471381,28019,ASOCIACION CLUB MADRE DOLORES,PRIVADA SIN ÁNIMO DE LUCRO
C0295,"NARANJOVEN, CENTRO DE DIA",190,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Adolescencia,Fuenlabrada,CALLE,431072,4461050,28942,ASOCIACIÓN PRELABORALES NARANJOVEN,PRIVADA SIN ÁNIMO DE LUCRO
C0297,"AMEB, CENTRO DE ATENCION TEMPRANA",40,Capacidad máxima simultánea,CENTROS DE REHABILITACIÓN,CENTROS DE ATENCIÓN,Infancia,Madrid,CALLE,442498,4476475,28002,ASOCIACION MADRILEÑA DE ESPINA BIFIDA (AMEB),PRIVADA SIN ÁNIMO DE LUCRO
